album,artist,duration,playlist,title
Open Arms,Rkcb & Demo Taped,3:48,*whimpers softly into pillow*,Open Arms
If You,Khai,3:13,*whimpers softly into pillow*,Do You Go Up (Original Mix)
II,Moderat,4:22,*whimpers softly into pillow*,Gita
Greater Than - EP,BASECAMP,3:31,*whimpers softly into pillow*,Surrender
Greater Than - EP,BASECAMP,3:51,*whimpers softly into pillow*,Watch My Back
If You,"CYN, Khai",3:37,*whimpers softly into pillow*,Take (Original Mix)
Season 2,Pomplamoose,3:36,B,Lorde 2Pac Beck Mashup
High Maintenance,Saweetie,1:49,B,ICY GRL
Platinum & Gold Collection,Rick Astley,3:32,B,Never Gonna Give You Up
OKRA,"Tyler, The Creator",2:31,B,OKRA
Betty Rubble: The Initiation,Mykki Blanco,4:18,B,Angggry Byrdz
New York EP,Angel Haze,3:09,B,Werkin' Girls
Love So Plain,Morgan Laurence,2:40,B,Come On! Come On!
The Yippee EP,Never Shout Never,3:26,B,Heregoesnothin
Vices & Virtues,Panic! At The Disco,3:46,B,The Ballad Of Mona Lisa
Ocean Eyes (Deluxe Version),Owl City,3:47,B,Fireflies
Response Diss,Mulatto,3:08,B,Response Diss
Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi,4:20,Blz,Marijuana
Man On The Moon: The End Of Day,Kid Cudi,4:55,Blz,Pursuit Of Happiness (Nightmare)
"good kid, m.A.A.d city",Kendrick Lamar,5:10,Blz,"Bitch, Don’t Kill My Vibe"
Kane,Pogo,2:46,Blz,Kane
XXX (Deluxe Edition),Danny Brown,3:25,Blz,Blunt After Blunt
Fall Be Kind,Animal Collective,6:45,Blz,What Would I Want? Sky
Paracosm,Washed Out,5:06,Blz,Great Escape
Kitsuné America 2,Chrome Sparks,2:57,Blz,Marijuana
Sublime Greatest Hits,Sublime,3:03,Blz,Santeria
Kala,M.I.A.,3:23,Blz,Paper Planes
Random Roads Collection,Project Trio,3:21,Blz,Sweet Pea
Section.80,Kendrick Lamar,2:53,Blz,Hol' Up
They Want My Soul,Spoon,3:32,Blz,Do You
REDMERCEDES,Aminé,2:49,Blz,REDMERCEDES
Platinum & Gold Collection,Rick Astley,3:32,Buyk,Never Gonna Give You Up
Sviatoslav Richter Plays Piano Concertos,Sviatoslav Richter,13:52,Buyk,"Piano Concerto No. 1 in D-Flat Minor, Op. 10"
The Fate of the Furious: The Album,Post Malone,3:49,Buyk,Candy Paint
Summertime '06,Vince Staples,3:03,Buyk,Norf Norf
Stoney (Deluxe),Post Malone,3:14,Buyk,Patient
Section.80,Kendrick Lamar,2:53,Buyk,Hol' Up
Grown Up,Danny Brown,2:19,Buyk,Grown Up
Stoney (Deluxe),Post Malone,4:16,Buyk,White Iverson
Lavender,Yung Lean,4:16,Buyk,Oreomilkshake
Stoney (Deluxe),Post Malone,3:40,Buyk,Congratulations (feat. Quavo)
High Maintenance,Saweetie,1:49,Buyk,ICY GRL
Response Diss,Mulatto,3:08,Buyk,Response Diss
Season 2,Pomplamoose,3:36,Buyk,Lorde 2Pac Beck Mashup
Big Baby DRAM,D.R.A.M.,3:45,Buyk,Broccoli (feat. Lil Yachty)
Ocean Eyes (Deluxe Version),Owl City,3:47,Buyk,Fireflies
Otter Pop (feat. Hollis),"Shawn Wasabi, Hollis",2:47,Buyk,Otter Pop (feat. Hollis)
Revolution,Diplo,4:23,Buyk,"Revolution (feat. Faustix, Kai & Imanos)"
The Pinkprint (Deluxe),Nicki Minaj,3:57,Buyk,Feeling Myself (feat. Beyoncé)
Tribute To Famous People,Pomplamoose,2:03,Buyk,Telephone
Tribute To Famous People,Pomplamoose,2:28,Buyk,Beat It
All About That Super Bass,Pomplamoose,2:07,Buyk,All About That Super Bass
Juggernaut: Omega,Periphery,5:53,Buyk,The Bad Thing
Undo (feat. Jeremih & Tory Lanez),RL Grime,3:28,Buyk,Undo (feat. Jeremih & Tory Lanez)
Bodak Yellow,Cardi B,3:43,Buyk,Bodak Yellow
II,Moderat,4:22,chel illectronic,Gita
II,Moderat,4:15,chel illectronic,Let In The Light
Last Time,Moderat,5:16,chel illectronic,Last Time
II,Moderat,5:45,chel illectronic,Therapy
Body Music,AlunaGeorge,3:23,chel illectronic,You Know You Like It
Shrines,Purity Ring,3:59,chel illectronic,Lofticries
Within And Without,Washed Out,4:47,chel illectronic,Eyes Be Closed
Life Of Leisure,Washed Out,3:12,chel illectronic,Feel It All Around
Plastic Beach,Gorillaz,3:53,chel illectronic,On Melancholy Hill
Needs,Giraffage,3:10,chel illectronic,Feels
Monkeytown,Modeselektor,6:02,chel illectronic,Blue Clouds
Monkeytown,Modeselektor,4:49,chel illectronic,Green Light Go
Time for a Change,FKJ,6:18,chel illectronic,So Much to Me
Classics,Ratatat,3:46,chel illectronic,Loud Pipes
